stage6_phase,kind,method,family,payload_setting_bytes,attempts,charged_seconds,evaluated_tokens,median_job_seconds,max_job_seconds,peak_sampled_vram_mib,mean_load_and_verify_seconds,mean_control_generation_seconds,mean_encode_seconds,mean_receiver_seconds,mean_public_scoring_seconds
qualification,prediction,L,-,,4,62.409570487001474,69,15.466236993501298,16.013938485000835,5006,14.315822018499603,,,,
qualification,encrypted,F,-,0,1,29.334064040998783,441,29.334064040998783,29.334064040998783,5006,14.223902429999725,,4.731123617999401,4.71554835400093,4.86023623499932
qualification,encrypted,F,-,128,1,60.80163810299928,1215,60.80163810299928,60.80163810299928,5006,14.767676633997326,,14.905329952001921,14.888466676999087,15.310630346997641
main_fixed,encrypted,L,-,32,8,300.96324996199473,5262,37.35264175800148,38.39865879599893,5006,14.603540847000659,,7.372794309999335,7.336116981623945,7.592320301124801
main_fixed,encrypted,F,-,32,8,292.3206026510052,5070,36.53439817900107,36.83688197800075,5006,14.465487053624656,,7.05043431175136,7.013736475625137,7.264773768125451
main_fixed,encrypted,F,-,128,8,485.9622260199976,9678,60.80121219600005,61.33237024199843,5006,14.550608941000064,,15.025564620000296,14.984629987374774,15.454378411125617
main_fixed,encrypted,L,-,128,8,494.46401391199834,9870,61.60203607200128,62.94759998399968,5006,14.430045534624242,,15.406896902499284,15.367074218999733,15.864856864124704
main_fixed,control,L,A,32,8,223.59407212599763,3508,27.736127682999722,28.819918614000926,5006,14.587688147500103,4.964686367250579,,,7.603082204125258
main_fixed,control,L,B,32,8,243.3452398710033,3508,30.420115345501472,30.92427502600185,5006,14.637213930500366,7.411858726625269,,,7.584330838125425
main_fixed,control,L,C,32,8,242.2671217740026,3508,30.39970446949883,30.97025273300096,5006,14.592682059875187,7.368649137499233,,,7.5611282994996145
main_fixed,control,F,A,32,8,218.7099264770004,3380,27.204040643500775,27.756364602999383,5006,14.516950117249507,4.77227615787524,,,7.285327430499365
main_fixed,control,F,B,32,8,235.80418876099793,3380,29.341954857998644,29.876900650000607,5006,14.464719510126088,7.0992158196249875,,,7.277731879874864
main_fixed,control,F,C,32,8,237.4765097659947,3380,29.604485317999206,30.424221436998778,5006,14.507382337749277,7.097353796249536,,,7.273789114750343
main_fixed,control,F,A,128,8,321.21413735199894,6450,40.027726488498956,41.065470851997816,5006,14.635431334374971,9.161507843624804,,,15.46328917925075
main_fixed,control,F,B,128,8,368.6030599580008,6452,45.88215027050137,46.430942851999134,5006,14.567010208374995,15.184316807125015,,,15.52128302275014
main_fixed,control,F,C,128,8,365.85018598499664,6452,45.86648911900011,45.87795483999798,5006,14.693351300375525,14.9575541803747,,,15.38688231537435
main_fixed,control,L,A,128,8,324.86285064900585,6580,40.539929138500156,41.0931724400034,5006,14.594846238124774,9.359921892374587,,,15.923646111749804
main_fixed,control,L,B,128,8,374.01972155700423,6580,46.68061091349955,47.54365310100184,5006,14.643446964624673,15.480966022376379,,,15.83952442012469
main_fixed,control,L,C,128,8,373.3606535799918,6580,46.668898100499064,46.93912135800201,5006,14.576501055124027,15.43165514062548,,,15.878825233623502
baseline,encrypted,Calgacus,-,32,4,137.07839533499646,2563,34.13273668199872,35.22193995899943,5006,14.490420701999938,,6.279343829999561,6.252983575750477,6.616430109749672
baseline,encrypted,Calgacus,-,128,4,205.35561506900194,4731,51.470457654499114,52.26821340900278,5006,14.52304497924979,,11.73080895449948,11.701754530500693,12.683209270499901
fresh_receiver,replay,L,-,,4,105.63460773099723,1260,26.41210450899962,30.416504764998535,5006,14.442587768248814,,,,
fresh_receiver,replay,F,-,,4,105.75447687299675,1228,26.439185526500296,30.429535906998353,5006,14.492824062750515,,,,
