position,stable_bits,released_bits,pending_underflow,low,high_inclusive,residual_width,residual_information_bits,selected_frequency,selected_information_bits,effective_interval_information_bits,table_entropy_bits
1,3,3,0,993001472,2588934143,1595932672,1.4282473564964562,3044,4.428247356496454,4.428247356496454,2.689557374772614
2,9,6,0,589080576,3706136575,3117056000,0.4624630718343674,2000,5.034215715337913,5.034215715337913,3.7605894774522115
3,9,0,0,589080576,2944518262,2355437687,0.8666519799366696,49523,0.404188907796054,0.4041889081023018,1.6605663195292075
4,9,0,0,589080576,2395912902,1806832327,1.2491845148689897,50272,0.3825325347058037,0.3825325349323218,1.5437840717024298
5,13,4,0,1650353008,3961827967,2311474960,0.893833411940637,5240,3.6446489035751872,3.6446488970716477,3.5486174351640885
6,19,6,1,1639763200,3423030015,1783266816,1.2681245679407454,395,7.374291156935535,7.374291156000107,0.9054424263492404
7,19,0,3,116601856,2691911675,2575309820,0.7379011413334133,23661,1.4697765719396418,1.469776573392667,2.963249322504475
8,23,4,0,233203712,2825882411,2592678700,0.7282037160036445,32989,0.9903025744939625,0.9903025746702304,2.267384742126155
9,23,0,0,233203712,2687299746,2454096035,0.8074554395934719,62033,0.07925172316517914,0.07925172358982938,0.3152860432127846
10,24,1,1,1474591464,3948758839,2474167376,0.7957040449083337,16518,1.9882486046832826,1.9882486053148591,3.106281962737285
11,26,2,0,1803252026,3599983191,1796731166,1.2572725827377589,23796,1.461568537049996,1.4615685378294274,0.9531744885695113
12,26,0,0,1803252026,3598831721,1795579696,1.258197458217328,65494,0.0009248751246666447,0.0009248754795686636,0.009252355022327404
13,26,0,0,1803252026,3553460017,1750207992,1.2951207661296387,63880,0.036923307701405034,0.0369233079123097,0.24605428482385838
14,28,2,0,1071377768,2666797467,1595419700,1.4287111486952604,14935,2.133590382801847,2.1335903825656235,2.6911195908159167
15,28,0,0,1071377768,2661466093,1590088326,1.4335402396594823,65317,0.004829090795818638,0.004829090964221554,0.037163986730511786
16,28,0,2,1356219752,3675066211,2318846460,0.8892398494148992,23893,1.455699610800526,1.4556996097554145,1.5076155235404292
17,28,0,2,1356219752,3316673941,1960454190,1.1314592152696576,55407,0.24221936570451646,0.2422193658547594,0.8542199474916589
18,28,0,3,564955856,3753625501,3188669646,0.4296925074280047,53297,0.2982332920989467,0.29823329215834665,1.2073595993647923
19,28,0,3,564955856,3748176114,3183220259,0.4321601600819953,65424,0.0024676524736343256,0.002467652653992423,0.020883834057460363
20,28,0,3,564955856,3506918560,2941962705,0.5458681882220127,60569,0.11370802789689677,0.11370802814001671,0.6562887412070347
21,32,4,1,112339776,3163117747,3050777972,0.4934699580179327,16990,1.9476017679284172,1.9476017697959218,3.0465185922732063
22,34,2,0,224679552,3103125063,2878445512,0.57735724322999,30917,1.0838872848586043,1.0838872852120551,2.6536524781720057
23,34,0,0,224679552,3002852066,2778172515,0.6285109574909349,63253,0.05115371404307196,0.05115371426094574,0.28985157564925973
24,34,0,0,224679552,2998782477,2774102926,0.6306258298464336,65440,0.00211487217088883,0.0021148723554993126,0.01802215246165915
25,35,1,0,449359104,3309475473,2860116370,0.5865732986581698,33784,0.9559474681986979,0.9559474688117336,2.492581559326012
26,35,0,0,449359104,3291320437,2841961334,0.595760219732103,65120,0.009186920846390613,0.009186921073936524,0.0623838478959362
27,35,0,0,449359104,2848781749,2399422646,0.8399598426620933,55331,0.24419962253274735,0.24419962292998978,1.0144114342689852
28,35,0,2,1897893524,4275788147,2377894624,0.8529623623015183,16237,2.0130025202509505,2.0130025196394254,1.3652384318245259
29,35,0,2,1897893524,3427981051,1530087528,1.4890329619849076,42170,0.6360705988335041,0.6360705996833887,2.0211508026627056
30,40,5,0,1527411264,4050972367,2523561104,0.7671861263991886,13511,2.278153162541215,2.278153164414282,2.917198036351348
31,40,0,0,1527411264,4047853341,2520442078,0.7689703457003176,65455,0.0017842189647608187,0.0017842193011282223,0.016886213900108103
32,40,0,1,907338880,3872058099,2964719220,0.5347516682559323,38544,0.7657813217615294,0.7657813225556152,1.245296537087373
33,40,0,1,907338880,2719619406,1812280527,1.2448408553168129,40061,0.710089186393427,0.7100891870608806,1.4300226381504475
34,40,0,3,747863252,3309545671,2561682420,0.7455555147878812,23159,1.50071466100026,1.5007146594710665,1.6477999229124647
35,45,5,0,1877365780,4178877327,2301511548,0.9000654646074757,14720,2.1545099490556248,2.154509949819594,1.0861259967903374
36,45,0,0,1877365780,4080791973,2203426194,0.9628985731258624,62743,0.06283310845664598,0.06283310851838854,0.3024778855861963
37,47,2,0,491802108,3146295895,2654493788,0.6942103807178803,19738,1.7313118077718106,1.7313118075920177,1.1506855076073823
