method,payload_bytes,metric,pairs,auc,interval
F,32,mean_nll_bits,0,,"[None, None]"
F,32,mean_log2_rank,0,,"[None, None]"
F,32,mean_admissible_nll_bits,0,,"[None, None]"
F,32,member_fraction,0,,"[None, None]"
F,32,format_accepted,0,,"[None, None]"
F,32,format_and_kem_canonical,0,,"[None, None]"
F,32,token_count,0,,"[None, None]"
F,32,utf8_bytes,0,,"[None, None]"
F,128,mean_nll_bits,0,,"[None, None]"
F,128,mean_log2_rank,0,,"[None, None]"
F,128,mean_admissible_nll_bits,0,,"[None, None]"
F,128,member_fraction,0,,"[None, None]"
F,128,format_accepted,0,,"[None, None]"
F,128,format_and_kem_canonical,0,,"[None, None]"
F,128,token_count,0,,"[None, None]"
F,128,utf8_bytes,0,,"[None, None]"
R,32,mean_nll_bits,0,,"[None, None]"
R,32,mean_log2_rank,0,,"[None, None]"
R,32,mean_admissible_nll_bits,0,,"[None, None]"
R,32,member_fraction,0,,"[None, None]"
R,32,format_accepted,0,,"[None, None]"
R,32,format_and_kem_canonical,0,,"[None, None]"
R,32,token_count,0,,"[None, None]"
R,32,utf8_bytes,0,,"[None, None]"
R,128,mean_nll_bits,0,,"[None, None]"
R,128,mean_log2_rank,0,,"[None, None]"
R,128,mean_admissible_nll_bits,0,,"[None, None]"
R,128,member_fraction,0,,"[None, None]"
R,128,format_accepted,0,,"[None, None]"
R,128,format_and_kem_canonical,0,,"[None, None]"
R,128,token_count,0,,"[None, None]"
R,128,utf8_bytes,0,,"[None, None]"
